#size: 500 4
#stance_hip, swing_hip, stance_knee, swing_knee
-3.148231607,41.296285,10.97659015,71.10355486
-3.18058354,41.36890657,10.97503721,70.86631037
-3.212926888,41.43946406,10.97375129,70.62562148
-3.245239168,41.50769727,10.972845,70.3811503
-3.277543221,41.57374506,10.97224396,70.13285301
-3.309838975,41.63725302,10.97198771,69.8807472
-3.342128886,41.69869084,10.97201228,69.62538274
-3.37440254,41.75791344,10.97236387,69.3666756
-3.406685253,41.81467655,10.97302255,69.10439059
-3.438970919,41.86929356,10.97395675,68.83877922
-3.471236491,41.92141741,10.97526217,68.56997019
-3.503518859,41.97184561,10.97672998,68.29881212
-3.535831553,42.01948174,10.97852487,68.02371466
-3.568122856,42.06480646,10.98065529,67.74590202
-3.600410774,42.10839518,10.98298254,67.46589248
-3.632738972,42.14951017,10.98556189,67.1827776
-3.665076663,42.18828351,10.98841983,66.89689219
-3.69741071,42.22505654,10.99153123,66.60874457
-3.729772197,42.25977807,10.99485286,66.31827186
-3.762201327,42.29208573,10.99840122,66.02487253
-3.794657771,42.32209296,11.00222226,65.72885329
-3.827123591,42.35045854,11.00622798,65.43119587
-3.859660211,42.37654045,11.01044138,65.13092917
-3.892265973,42.40018684,11.01489363,64.82801222
-3.924907831,42.42207198,11.01952763,64.52321282
-3.957603044,42.44186639,11.02437813,64.21616611
-3.990364872,42.45957041,11.02942511,63.90702515
-4.023206508,42.47518611,11.03463455,63.59577546
-4.056115407,42.48877577,11.04002936,63.28248639
-4.089074346,42.50037442,11.04564526,62.96714589
-4.122106383,42.51004816,11.05141906,62.65013767
-4.155234889,42.51765941,11.05734604,62.33119025
-4.188450005,42.52324703,11.06343325,62.0101443
-4.221712421,42.52714717,11.06968646,61.68768804
-4.255065515,42.52895086,11.07611928,61.36346448
-4.288567262,42.52869501,11.08271511,61.03675439
-4.322200028,42.5266525,11.08948304,60.70756655
-4.355970379,42.52244237,11.09648006,60.37573593
-4.389901162,42.51604954,11.10368102,60.04134923
-4.423991488,42.50768395,11.11106254,59.70440871
-4.458212996,42.49762566,11.11861439,59.36525967
-4.492617896,42.48532151,11.12634808,59.02367876
-4.527199845,42.47069619,11.13430191,58.67941104
-4.561906077,42.4544335,11.14243832,58.33300161
-4.596806282,42.43626666,11.15069786,57.98449939
-4.631893674,42.41583137,11.15917105,57.63358235
-4.667163111,42.3931515,11.16786972,57.27999446
-4.702608833,42.36872865,11.17670176,56.92437101
-4.738234875,42.34246282,11.18570097,56.56682557
-4.774069821,42.3140101,11.1948879,56.20697907
-4.810101231,42.28339342,11.20427876,55.84470797
-4.846323619,42.25087813,11.21382192,55.48040995
-4.882737722,42.21656958,11.22349816,55.11444784
-4.919346775,42.18007172,11.23341659,54.74631745
-4.956188217,42.1414186,11.2434772,54.37597267
-4.993200944,42.1010162,11.25369186,54.00393615
-5.03039791,42.05865245,11.26409481,53.6304294
-5.067807294,42.01420881,11.27466,53.25501678
-5.105410781,41.96777155,11.28542799,52.87766055
-5.143225324,41.91948457,11.29630903,52.49898006
-5.181233309,41.8692138,11.30737746,52.1188052
-5.219445018,41.81691437,11.31865324,51.73687734
-5.25786391,41.76282216,11.33006103,51.35342064
-5.296480717,41.70684228,11.34165333,50.96873879
-5.335335495,41.64880282,11.35340539,50.58257827
-5.374380141,41.58891449,11.36535849,50.19495767
-5.413617051,41.52734088,11.37746715,49.80620713
-5.453100342,41.46374994,11.38971944,49.41626885
-5.492782421,41.39824391,11.40219782,49.02502897
-5.532660847,41.33113153,11.41482849,48.63266851
-5.57277405,41.26210473,11.42761182,48.2394101
-5.613079671,41.19115162,11.44063918,47.84511676
-5.653588969,41.11856021,11.45381472,47.44980669
-5.694321681,41.04427021,11.46713728,47.05379157
-5.735238198,40.968117,11.48071918,46.6570634
-5.776369981,40.8902171,11.49446133,46.2596601
-5.817696316,40.81074489,11.5083718,45.86151688
-5.859218852,40.7296196,11.52249295,45.46286033
-5.900963656,40.64671334,11.53681894,45.06388103
-5.942908471,40.56225752,11.5513191,44.66445563
